index,kendall,pearson,spearman
99,nan,nan,nan
140,nan,nan,nan
146,0.3130032180229999,0.32163376045133857,0.32298759674996963
153,0.10425720702853739,0.09284766908852596,0.10758287072798382
87,0.30151134457776363,0.3015113445777636,0.3015113445777637
47,0.2156862745098039,0.21568627450980388,0.2156862745098039
19,0.4945809857653046,0.5227205022150236,0.5233354241666224
115,0.03151267458316272,0.029867384554474942,0.03203055891843076
73,0.5941759110223066,0.5956833971812704,0.6066737176044031
29,0.6666666666666666,0.6666666666666667,0.6666666666666667
31,0.5148316283063689,0.5833333333333334,0.5257996871478574
110,0.2728525781658746,0.2795084971874737,0.2795084971874737
61,0.5770175983068111,0.5976143046671969,0.5976143046671968
130,nan,nan,nan
23,-0.19245008972987523,-0.1924500897298753,-0.19245008972987526
89,0.5108910520108026,0.5211811380624132,0.550138967260132
64,0.27216552697590873,0.27216552697590873,0.2721655269759087
8,0.6382847385042254,0.6382847385042254,0.6382847385042254
36,0.2974089582579658,0.28446279355845633,0.30109344923545023
11,0.06052275326688024,0.060522753266880225,0.06052275326688024
25,-0.15899968200095402,-0.196116135138184,-0.16222142113076254
3,0.8660254037844386,0.8660254037844387,0.8660254037844387
72,-0.10206207261596577,-0.10206207261596573,-0.10206207261596577
66,0.5457051563317492,0.5590169943749473,0.5590169943749475
128,0.3082573996425538,0.3082573996425537,0.30825739964255383
100,-0.1164681928033949,-0.10696563746013953,-0.11888261880332252
84,nan,nan,nan
131,nan,nan,nan
159,0.14800069461822346,0.1725163898355886,0.15114088543958576
77,-0.08830215713766958,-0.0764719112901873,-0.09140141618451363
137,nan,nan,nan
71,0.3553711577967667,0.34299717028501764,0.36273812505500586
120,nan,nan,nan
56,nan,nan,nan
117,0.4240416714231922,0.4631014536777445,0.4392720530032388
78,0.0,-0.02491450309173123,0.0
80,0.746003846592251,0.6187983455093131,0.7882634225314346
150,0.595879571531124,0.5402615627001986,0.6438568221623566
149,-0.08992359739952711,-0.08522864845907047,-0.09140141618451363
155,-0.19423455154881755,-0.1543260332918671,-0.20121090914638343
33,-0.10482848367219183,-0.10482848367219182,-0.10482848367219186
134,nan,nan,nan
18,0.08639579781058926,0.09553254290337605,0.08781564017277947
109,0.14590811492573924,0.14030902014120525,0.14886458551295736
95,0.42057911556903327,0.372677996249965,0.42749098003548086
14,0.2156862745098039,0.21568627450980393,0.2156862745098039
21,0.47028337014045946,0.4997429966419769,0.4803023654629545
4,0.7385489458759965,0.7385489458759961,0.7385489458759964
139,0.0,0.0,0.0
124,0.0,0.0,0.0
69,0.5384615384615384,0.5384615384615383,0.5384615384615385
20,0.30466667388839536,0.3210193687528897,0.31497039417435607
58,0.28097574347450816,0.28097574347450827,0.2809757434745082
162,-0.13245323570650436,-0.1324532357065044,-0.13245323570650436
83,nan,nan,nan
57,0.27216552697590873,0.2721655269759088,0.2721655269759087
156,0.3136280808528075,0.3228732015003789,0.32617228851686864
103,0.45176266575807206,0.4231636330280053,0.46761878495450554
52,0.5461186812727501,0.5461186812727503,0.5461186812727502
82,0.49118485325781325,0.4356594339685273,0.5016491372613081
0,0.32824397594488736,0.3282439759448873,0.3282439759448873
112,0.6364696638165888,0.6285393610547091,0.6493661626966412
132,nan,nan,nan
37,0.1815682598006407,0.18156825980064073,0.18156825980064073
92,0.6944444444444444,0.7035264706814484,0.7145774380937868
116,0.2277674325585509,0.2472139651556561,0.236914566903061
30,nan,nan,nan
86,0.23131050102961254,0.2567762955065478,0.23599744180159618
152,0.49793204431399773,0.5393193716300061,0.5061151391857988
12,0.5212860351426869,0.5570860145311558,0.5379143536399191
