index,kendall,pearson,spearman
99,0.21265092541849714,0.2278206303539399,0.2351377032724991
140,-0.6022608771859188,-0.7328891012310267,-0.6546609625837685
146,0.2555099334408675,0.35937896390336554,0.28841594108347746
153,0.35080090703895594,0.515919069669391,0.4195885207545259
87,0.310497102569775,0.12840586444756855,0.3433883952736511
47,0.29926601608548503,0.09741219925226914,0.3029735134742432
19,0.5578333988218644,0.7491175230635354,0.6478223934555304
115,0.13655492319370513,0.1947177601603833,0.16595113642805387
73,0.5871375880896108,0.7499600187280077,0.6569711502077165
29,0.6575959492214292,0.6663468377576021,0.6657426652986063
31,0.31129905753911813,0.6337465114267569,0.3550050662094579
110,0.22934432041081737,0.24617809302225557,0.27155046285192375
61,0.5342144904349299,0.4187085747974982,0.5858749251483804
130,0.45087145977186577,0.4032030439476127,0.48654643603185066
23,-0.19245008972987523,-0.1924500897298753,-0.19245008972987526
89,0.08330923113952961,0.4072683685350786,0.13085706459007976
64,0.21794871794871795,0.2087189145892573,0.2490752258727644
8,0.4769977795759956,0.47157922970007926,0.5089946999037908
36,0.44358195044991044,0.3604352004454011,0.4913500534343212
11,0.06988565578146122,0.07031956621712901,0.07191174652966195
25,0.277882911674791,-0.09837496085654103,0.288289994320509
3,0.828078671210825,0.7185267485881333,0.8593378488473195
72,-0.06721660724223312,-0.39894683286325927,-0.06987712429686845
66,0.5839571624737837,0.5971929359944363,0.6106401198187057
128,0.3772465911208927,0.37319132995003856,0.398905839217769
100,0.08752727210071286,0.18291539763977566,0.08558992432047137
84,-0.21795677240951988,-0.5494159028924748,-0.22131818737836895
131,0.10376104828010804,0.2498016660901981,0.09863067098656109
159,0.2822856608015125,0.2448869860768401,0.31766217801059576
77,0.34187469470305476,0.27925975116381563,0.40322444513894956
137,-0.31164295982657786,-0.3805829976775955,-0.36266543005667884
71,0.34885494650179166,0.5605323262974904,0.4027622577306722
120,0.23876048387058735,0.2602964501246072,0.2692801971834504
56,nan,nan,nan
117,0.5506692168829007,0.5080776420844807,0.6108613575472202
78,-0.015465355809927969,-0.025283940858210105,-0.014597373584874453
80,0.5116668807013812,0.4862698879994872,0.6144382641769394
150,0.5240701865835041,0.5113639069922348,0.5838918429186484
149,0.4567979307671261,0.5068650719097706,0.5031169837056726
155,-0.19423455154881755,-0.1543260332918671,-0.20121090914638343
33,-0.19878047643455873,-0.17110773671588173,-0.23651223618609826
134,-0.4962916669854651,-0.46515395658931097,-0.5741692517632145
18,-0.01340501843777773,-0.2507138963666494,-0.019287387243897485
109,0.0,-0.10304154326031773,0.00533083151354031
95,0.17267304219684695,0.05358894519559815,0.20747038521679745
14,0.2156862745098039,0.21568627450980393,0.2156862745098039
21,0.4399098114407485,0.4995036431952368,0.45752731307140604
4,0.7385489458759965,0.7385489458759961,0.7385489458759964
139,-0.13068205256070964,-0.005737040151386985,-0.128564869306645
124,0.07484811885651198,0.10157246542190758,0.08918325397005951
69,0.4739266553027743,0.5753758755178465,0.5224182609971655
20,0.16082229593835243,0.17237735377772664,0.1832072337193248
58,0.4870881870470525,0.5121383178179635,0.511766315719159
162,0.267782219486602,0.19257757873491899,0.2770602860187163
83,0.0,0.0625,0.0
57,0.11189084777289188,0.17711624204313434,0.12369030846321849
156,0.22618111047751557,0.3002095716885935,0.25190118455238325
103,0.3701501546820385,0.3124657047162829,0.41176737416048054
52,0.5461186812727501,0.5461186812727502,0.5461186812727502
82,0.4267231797822937,0.19121538026294851,0.4810021869870486
0,0.3853373177942262,0.40994487984943295,0.4141178201806376
112,0.6704916248307844,0.49985185928218456,0.7232680380298492
132,-0.3968540742767064,-0.1992054423752115,-0.47656504999742466
37,0.3146266024828463,0.27258421004981204,0.35862086370499197
92,0.5641025641025641,0.056605626539234115,0.6384933965255123
116,0.28546406814764974,0.2560360049914228,0.3368528226244606
30,nan,nan,nan
86,0.10563363910689029,0.24427271658300995,0.11520657833849661
152,0.43271958397652716,0.5385379915627324,0.44922858883099137
12,0.2837521769195829,0.33255747248429757,0.30612002257788845
125,0.30759325334077114,0.3408965878661995,0.37804439571738857
88,0.3993064100802086,0.41759949509387406,0.4522108995144567
143,0.4948769140309282,0.5121475197315838,0.5143572436330072
133,-0.2001839268768612,-0.254630829205506,-0.21689501445041856
85,0.15018785229652765,0.15018785229652776,0.15018785229652765
60,0.7778174593052023,0.5511987966504094,0.8161219552686717
24,0.5397505397508097,0.561172433198219,0.5794965487458019
45,nan,nan,nan
123,0.5251592130208288,0.5598047636078544,0.5907528272956818
119,0.5419128349313991,0.5934503570160086,0.6153889622881666
43,0.4666693479116453,0.5062862604255016,0.5246321777756984
67,0.17364554142048416,-0.03419128137749758,0.17966197854387894
15,0.4740968275126771,0.03679522094323223,0.49541508402214957
75,-0.25197631533948484,-0.30255529056805297,-0.2894677330436371
2,0.47595309846570855,0.5823517901405727,0.5129891760425771
118,0.3629032307214719,0.3727527532456827,0.4206410283844433
79,0.3940416439975616,0.2947571965560559,0.40857853123355753
126,0.3529428679643902,0.341362455445779,0.3859588904042969
105,0.4464463669987628,0.47310810013111027,0.4708749103533819
68,0.3191423692521127,0.28830371754258527,0.3332806080749687
135,0.36653925167422763,0.5415893508079936,0.4374088826398532
106,0.22696633686520443,0.5730191540677286,0.2824610597404307
34,0.4420256812102544,0.2082398278753794,0.45016180597876165
49,0.33062326126679026,0.3047392640753681,0.3709881617161849
114,-0.04402254531628119,-0.013539359159012845,-0.04693232544639321
70,0.0,-0.019081047992064608,-0.002371743821550433
147,0.39154082654686134,0.6711143769981843,0.48958270630050116
97,0.6131182609940942,0.6893234404530266,0.6801274027781027
122,0.5597148910823466,0.5835109552407982,0.6237756806974977
144,0.330761628628345,0.3789977405678275,0.3518641345305399
62,0.41744917781073765,0.39997079261398527,0.4464565569300261
51,0.6038810848771178,0.6401825431381727,0.6426791294069556
101,-0.1260682264148248,0.014304664055412607,-0.13979247832696554
102,0.305085107923876,0.3366465012020054,0.34082253446625277
39,0.029514066805047763,-0.16773486692335052,0.03135222467603063
138,0.11593594135173205,0.04985515053884625,0.12205262145021269
17,-0.08705790737106178,-0.05565676462342024,-0.12394213140188252
54,0.29895699523128744,0.41103801481087215,0.3367115499172144
158,0.5495666625111234,0.5850975395846849,0.5946063069641568
141,0.06718976643410579,0.11028815900781445,0.07816926092001925
157,0.4957541130761839,0.501259949095414,0.5291283214481474
22,0.6666666666666666,0.6666666666666667,0.6666666666666667
154,0.09280980299025918,0.019473312745513914,0.13558480925126482
16,0.02160679078507215,0.04231421568916676,0.02243596658037831
74,0.5090559339302263,0.4077331492675163,0.5693616543142528
127,-0.20392509677383266,-0.2571548428965467,-0.2347869083534997
46,0.549279518078652,0.541093250650932,0.6243948648569437
98,0.27982828266197823,0.46407553491977144,0.3287798189539317
1,-0.1690308509457033,0.11861997364505382,-0.18372608486985015
107,0.5037079340728081,0.5423886357217788,0.5361046546472005
163,nan,nan,nan
5,0.2687821104580721,0.3328366116659063,0.29186563643134655
9,0.39872611141445,0.3197128797551955,0.4437432313056011
59,0.669774686623137,0.6850069950605404,0.6839855680567694
94,0.3046358979224712,0.33746318557325733,0.3276613544350082
90,0.36497107213469077,0.5402937265849789,0.45234861668992865
44,0.11445418169970778,0.11796524862660546,0.12578634342515482
91,-0.17638342073763938,-0.4319455096551598,-0.22827867007004804
96,0.504540708894209,0.5661188868492081,0.5570848019443705
42,-0.07647191129018725,-0.07647191129018725,-0.07647191129018725
108,0.4455663943395034,0.511550753449456,0.4808599052334972
145,0.319726016191139,0.40558279139461145,0.37478963886745925
142,0.5000540745148393,0.47219790085855556,0.522009122728763
93,0.29412160880543103,0.11927829569473682,0.3371799663746491
41,-0.06327719971683327,-0.05337605126836237,-0.06600983619844496
48,0.6349021776571556,0.5219610104772953,0.6745912240425026
81,0.22705042406030665,0.1626663983289286,0.24287605990204147
136,0.24146531118929634,0.33140803541048514,0.2532101566880551
55,0.35378335763982427,0.3744953380592754,0.39878916885656013
65,0.43879187298171723,0.39517804101102694,0.5366400317910544
35,0.059391387091649865,0.2825907966011066,0.06087497400924516
121,0.46252605143786923,0.40487637327699555,0.49541508402214945
148,0.6239609302872392,0.49636715118934294,0.7177115647040182
6,0.3101805304771784,0.439942231199077,0.3256237766099555
40,0.6548902464164389,0.7274794767051066,0.720229998356801
160,0.3632995072753774,0.2788048500763554,0.4217057274648362
63,0.22796379884591336,0.28355036566795616,0.2596778146715029
28,0.6368535237621037,0.7432540297825094,0.6773768568587409
13,0.43471413360133115,0.359566469540131,0.4778551702513217
27,0.19459743752898478,0.12470727134452461,0.20589939823187942
76,0.07980241343881551,-0.024910228599062525,0.09766346609885279
129,0.07367094686837573,0.08170576480201755,0.07502696766312696
26,0.5412160911897593,0.7225481447879418,0.6035863039025021
113,0.437571225071697,0.48043509116553884,0.4688861458059496
53,nan,nan,nan
10,0.13898464132279895,0.13158910501569948,0.16048564016188313
151,0.28650052634287904,0.3580141697230446,0.32582748891981517
161,0.25147784538477264,0.27331154893188864,0.3045457134865855
104,0.46249267188757837,0.5959311776201477,0.5382158708451571
111,0.1902175668803671,0.2560182719816392,0.2198917038745591
7,0.6882472016116852,0.6882472016116854,0.6882472016116853
