index,kendall,pearson,spearman
99,0.24784079854830485,0.23433882657866367,0.2719742050138463
140,-0.6741726237155807,-0.7025516272785157,-0.732829435728099
146,0.2555099334408675,0.35270926666496777,0.28841594108347746
153,0.3170611467787919,0.45986463044530956,0.38889805333972355
87,0.310497102569775,0.290545974690342,0.3433883952736511
47,0.29926601608548503,0.1600032026773366,0.3029735134742432
19,0.6775014791162299,0.7390273368249745,0.7390797602251407
115,0.1575633729158136,0.3572737990796136,0.1893072222957059
73,0.5871375880896108,0.4846526295417886,0.6569711502077165
29,0.6575959492214292,0.5147390686640063,0.6657426652986063
31,0.199898037209789,0.6505103384817486,0.2381584317546885
110,0.37047928681747416,0.4555424912881582,0.44611861754244614
61,0.5715005715008573,0.6131906908945914,0.6162271786493071
130,0.45087145977186577,0.45039615160280294,0.48654643603185066
23,0.016583953170166487,-0.18491629788381003,0.017144816662454657
89,0.1760457736852053,0.3615230403801439,0.23868603795144824
64,0.3717948717948718,0.5032715860393261,0.42489303237118625
8,0.4769977795759956,0.47274743643285594,0.5089946999037908
36,0.44358195044991044,0.3239767162276989,0.4913500534343212
11,-0.051184926097746386,0.09874861917813935,-0.056574577438398055
25,-0.03490496486686161,-0.27727169740257107,-0.04936240647992437
3,0.828078671210825,0.7363439094633693,0.8593378488473195
72,-0.06721660724223312,-0.3593096877640965,-0.06987712429686845
66,0.5381382351970498,0.6688568553772329,0.5720160166727034
128,0.3772465911208927,0.3934956065828877,0.398905839217769
100,0.1264282819232519,0.1728456992571752,0.1257432221498283
84,-0.25628616659459763,-0.21225955399085258,-0.2712169487604362
131,0.10376104828010804,0.07222003388785317,0.09863067098656109
159,0.2509205873791222,0.2999394644466845,0.28384939715792734
77,-0.08215363107384048,-0.20395166789235855,-0.08881325343006065
137,0.23028309323591914,0.26435507335386993,0.2673294469006248
71,0.3171408604561743,0.3901822346444018,0.36793867230685984
120,0.22864953129664753,0.17009655074841676,0.27154675415737506
56,nan,nan,nan
117,0.5487538398904317,0.6139047268366599,0.6105989036757943
78,0.6236539787254686,-0.005461860311592473,0.7107955113544278
80,0.539703422109676,0.4683077427639658,0.6402549979658865
150,0.5233277455701973,0.49864860547852485,0.6097621726781077
149,0.4567979307671261,0.6071413094367726,0.5031169837056726
155,-0.31230996530470556,-0.3040752970267392,-0.3310329139092738
33,-0.03058161175916288,-0.05750657864263717,-0.036386497874784346
134,-0.5723825645188302,-0.5346144860511937,-0.6605487456135041
18,0.1335518060741238,-0.07326437579389992,0.1331810612491324
109,0.06683162878595182,0.09999140928471847,0.07802398851636272
95,nan,nan,nan
14,0.2156862745098039,0.21568627450980393,0.2156862745098039
21,0.50011385261114,0.45168935389925513,0.5371563254307343
4,0.856051650007706,0.7393010609473376,0.910502907211971
139,-0.12907749478503058,-0.060028370108898874,-0.1568325994755646
124,-0.03742405942825599,-0.026425210781113928,-0.04954625220558862
